Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
,Victoria Memorial,Birla Planetorium,St Paul's Cathedral,ISCON Kolkata,"Rabindra Sarovar ",Princep Ghat,St. Johns Church,Biswa Bangla Gate,Tagore House,Marble Palace,Maidan,Eden Garden,Salt Lake Stadium,National Library,Alipore Zoo,Gariahat Market,Birla Industrial and Tech Museum,Quest Mall,New Market,Dakshineswar Kali Temple,Park Street,College Street,Science City,Mother House,Kalighat Temple," Netaji Bhavan ",Nicco Park,Eco Park,"Mother Teresa Wax Museum ",Indian Museum
Victoria Memorial,0,0.65,0.7,1.3,5.4,3.5,13.2,17.7,5.2,5.2,0.6,2.8,11,2.8,2.4,6.7,3.7,4,2.9,16,2.2,4.4,9,3.3,3.8,2.5,12.4,19.1,19.2,1.9
Birla Planetarium,0.65,0,0.17,1,5.8,5.1,4.9,16,7.5,4.9,1.7,2.7,10,3.3,2.5,5.1,2.9,2.8,2,15,1.3,4,6.4,0.9,3.3,1.7,10,19,20.1,1.6
St Paul's Cathedral,0.7,0.17,0,1.1,6,5.2,4.6,15,5.9,4.9,1.8,2.7,10,3.4,2.6,5.2,2.9,2.8,2,15,1.5,4.1,6.4,3,3.7,1.7,10,19,19,1.7
ISCON Kolkata,1.3,1,1.1,0,4.9,4.2,4.3,16,6.6,5.6,1.3,3.4,9.3,3.5,3,4.4,2.1,2.2,2.1,16,1,4,7.1,2.2,3.5,1.9,11,17,18,2.9
"Rabindra Sarovar ",5.4,5.8,6,4.9,0,8.4,8.4,18,12,9.3,5.8,9.4,12,5.9,6.1,2,4.2,3.5,6.5,19,5.9,8.6,9.8,6.3,3.2,4.3,13,20,20,6.9
Princep Ghat,3.5,5.1,5.2,4.2,8.4,0,5.7,18,5.8,5.4,4.4,2.2,10,3.7,3.2,8.9,5.9,6,4.2,15,4.1,4.9,11,6.2,5.4,4.6,12,19,21,3.4
St. Johns Church,13.2,4.9,4.6,4.3,8.4,5.7,0,13,3.8,2.6,6.4,4.5,5.2,8.4,7.5,6.4,4.5,3.8,2.9,13,3.7,2.9,6.4,2.1,7,4.6,8.3,16,16,3.3
Biswa Bangla Gate,17.7,16,15,16,18,18,13,0,13,13,16,20,9.3,18,18,16,15,14,17,20,16,15,11,15,18,16,6.1,1.8,2.8,16
Tagore House,5.2,7.5,5.9,6.6,12,5.8,3.8,13,0,1.3,3.3,3.8,8.1,8.8,8.3,11,8.7,8.3,5.5,11,5.9,2.5,11,5.8,9.1,7.7,8.1,16,18,4.3
Marble Palace,5.2,4.9,4.9,5.6,9.3,5.4,2.6,13,1.3,0,3.4,3.6,7.8,8.6,8.1,9.6,7.7,7.6,4.5,11,5,1.5,9,4.4,8.9,6.7,8,15,18,3.3
Maidan,0.6,1.7,1.8,1.3,5.8,4.4,6.4,16,3.3,3.4,0,1.4,10,2.4,1.9,6,4.1,3.3,3.7,28,1.6,4.3,9.4,3.5,4.1,2.1,12,18,19,1.8
Eden Garden,2.8,2.7,2.7,3.4,9.4,2.2,4.5,20,3.8,3.6,1.4,0,13,5.3,4.8,9,7.1,6.4,2.7,15,3.3,2.8,12,6.5,7,4.9,16,21,22,1.5
Salt Lake Stadium,11,10,10,9.3,12,10,5.2,9.3,8.1,7.8,10,13,0,12,12,11,9,8.3,11,22,9.9,8,5.6,9.3,14,9.8,2.5,9.1,12,14
National Library,2.8,3.3,3.4,3.5,5.9,3.7,8.4,18,8.8,8.6,2.4,5.3,12,0,1,5.5,4.6,5.2,6.5,30,5.6,7,11,5.3,2.8,3.5,14,20,21,5.2
Alipore zoo,2.4,2.5,2.6,3,6.1,3.2,7.5,18,8.3,8.1,1.9,4.8,12,1,0,5.5,4.3,4.7,6,29,5.1,6.5,11,4.8,2.7,3.1,13,20,20,4.7
Gariahat Market,6.7,5.1,5.2,4.4,2,8.9,6.4,16,11,9.6,6,9,11,5.5,5.5,0,1.9,2.5,5.8,33,4.8,8,8.8,4.2,3.1,3.5,12,19,19,8.7
Birla Industrial and Tech Museum,3.7,2.9,2.9,2.1,4.2,5.9,4.5,15,8.7,7.7,4.1,7.1,9,4.6,4.3,1.9,0,0.85,2.1,32,3.1,8.9,6.5,2.6,3.9,1.7,11,17,17,7.1
Quest Mall,4,2.8,2.8,2.2,3.5,6,3.8,14,8.3,7.6,3.3,6.4,8.3,5.2,4.7,2.5,0.85,0,3.7,32,2.7,5.6,6.1,2.1,4.4,2.4,10,17,17,6.6
New Market,2.9,2,2,2.1,6.5,4.2,2.9,17,5.5,4.5,3.7,2.7,11,6.5,6,5.8,2.1,3.7,0,14,2.1,2.9,9.6,4.1,5.8,3.9,16,23,19,0.45
Dakshineswar Kali Temple,16,15,15,16,19,15,13,20,11,11,28,15,22,30,29,33,32,32,14,0,30,11,26,31,30,30,22,16,19,14
Park Street,2.2,1.3,1.5,1,5.9,4.1,3.7,16,5.9,5,1.6,3.3,9.9,5.6,5.1,4.8,3.1,2.7,2.1,30,0,6.8,8.7,3.2,4.9,2.9,13,19,18,6.3
College Street,4.4,4,4.1,4,8.6,4.9,2.9,15,2.5,1.5,4.3,2.8,8,7,6.5,8,8.9,5.6,2.9,11,6.8,0,7.5,3.2,9.1,5.9,8.4,15,19,3.6
Science City,9,6.4,6.4,7.1,9.8,11,6.4,11,11,9,9.4,12,5.6,11,11,8.8,6.5,6.1,9.6,26,8.7,7.5,0,5.6,9.8,6,7.3,14,14,10
Mother House,3.3,0.9,3,2.2,6.3,6.2,2.1,15,5.8,4.4,3.5,6.5,9.3,5.3,4.8,4.2,2.6,2.1,4.1,31,3.2,3.2,5.6,0,5.4,2.9,8.1,16,18,2.8
Kalighat Temple,3.8,3.3,3.7,3.5,3.2,5.4,7,18,9.1,8.9,4.1,7,14,2.8,2.7,3.1,3.9,4.4,5.8,30,4.9,9.1,9.8,5.4,0,2.8,15,21,22,6.5
Netaji Bhavan,2.5,1.7,1.7,1.9,4.3,4.6,4.6,16,7.7,6.7,2.1,4.9,9.8,3.5,3.1,3.5,1.7,2.4,3.9,30,2.9,5.9,6,2.9,2.8,0,13,20,18,5.1
Nicco Park,12.4,10,10,11,13,12,8.3,6.1,8.1,8,12,16,2.5,14,13,12,11,10,16,22,13,8.4,7.3,8.1,15,13,0,11,8.5,9.4
Eco Park,19.1,19,19,17,20,19,16,1.8,16,15,18,21,9.1,20,20,19,17,17,23,16,19,15,14,16,21,20,11,0,0.85,18
Mother Teresa Wax Museum,19.2,20.1,19,18,20,21,16,2.8,18,18,19,22,12,21,20,19,17,17,19,19,18,19,14,18,22,18,8.5,0.85,0,19
Indian Museum,1.9,1.6,1.7,2.9,6.9,3.4,3.3,16,4.3,3.3,1.8,1.5,14,5.2,4.7,8.7,7.1,6.6,0.45,14,6.3,3.6,10,2.8,6.5,5.1,9.4,18,19,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
