Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
,Victoria Memorial,Birla Planetorium,St Paul's Cathedral,ISCON Kolkata,Rabindra Sarovar ,Princep Ghat,St. Johns Church,Biswa Bangla Gate,Tagore House,Marble Palace,Maidan,Eden Garden,Salt Lake Stadium,National Library,Alipore Zoo,Gariahat Market,Birla Industrial and Tech Museum,Quest Mall,New Market,Dakshineswar Kali Temple,Park Street,College Street,Science City,Mother House,Kalighat Temple," Netaji
  Bhavan ",Nicco Park,Eco Park,Mother Teresa Wax Museum ,Indian Museum
Victoria Memorial,0,2,2,5,20,7,7,28,21,20,2,6,18,9,8,19,12,10,10,51,8,20,23,10,15,10,20,30,31,8
Birla Planetarium,2,0,1,9,21,12,24,34,30,28,7,12,22,10,9,22,14,13,15,58,12,30,24,35,13,11,22,34,35,16
St Paul's Cathedral,2,1,0,10,22,13,25,35,31,29,8,13,23,11,10,23,15,14,16,29,13,30,25,36,14,12,23,35,36,17
ISCON Kolkata,5,9,10,0,23,17,21,42,34,29,5,17,31,17,15,22,11,11,20,72,6,27,27,10,19,12,30,44,45,19
Rabindra Sarovar ,20,21,22,23,0,27,34,50,46,44,23,27,36,25,25,9,12,16,32,87,22,39,35,24,15,18,37,51,53,24
Princep Ghat,7,12,13,17,27,0,8,44,27,24,8,6,33,12,10,29,20,17,14,69,16,24,32,18,19,16,31,45,47,12
St. Johns Church,7,24,25,21,34,8,0,13,38,26,64,5,24,10,11,25,17,15,14,15,12,27,26,17,15,14,25,44,44,23
Biswa Bangla Gate,28,34,35,42,50,44,13,0,41,39,28,34,17,33,31,38,33,33,36,39,31,36,21,34,39,36,18,15,7,43
Tagore House,21,30,31,34,46,27,38,41,0,4,20,19,25,28,26,36,32,30,21,41,27,7,37,22,33,32,30,45,50,23
Marble Palace,20,28,29,29,44,24,26,39,4,0,17,18,25,27,27,34,28,25,18,36,18,4,36,19,31,27,28,43,46,20
Maidan,2,7,8,5,23,8,64,28,20,17,0,4,17,6,5,18,10,8,9,43,3,19,18,9,14,7,17,47,41,6
Eden Garden,6,12,13,17,27,6,5,34,19,18,4,0,22,13,12,23,16,14,8,17,6,6,24,13,17,13,23,52,47,5
Salt Lake Stadium,18,22,23,31,36,33,24,17,25,25,17,22,0,21,22,24,19,15,28,40,22,25,15,23,26,24,6,30,25,31
National Library,9,10,11,17,25,12,10,33,28,27,6,13,21,0,2,21,15,13,17,61,11,26,24,15,9,10,22,52,47,15
Alipore zoo,8,9,10,15,25,10,11,31,26,27,5,12,22,2,0,21,12,11,14,42,8,23,21,12,10,10,20,50,46,14
Gariahat Market,19,22,23,22,9,29,25,38,36,34,18,23,24,21,21,0,7,10,28,62,21,32,23,18,14,15,27,55,48,22
Birla Industrial and Tech Museum,12,14,15,11,12,20,17,33,32,28,10,16,19,15,12,7,0,4,21,65,15,26,21,13,14,7,23,24,41,13
Quest Mall,10,13,14,11,16,17,15,33,30,25,8,14,15,13,11,10,4,0,23,54,14,25,20,12,18,11,22,45,37,10
New Market,10,15,16,20,32,14,14,36,21,18,9,8,28,17,14,28,21,23,0,53,5,18,26,11,21,15,27,57,54,7
Dakshineswar Kali Temple,51,58,59,72,87,69,15,39,41,36,43,17,40,61,42,62,65,54,53,0,48,43,52,57,55,65,41,41,41,62
Park Street,8,12,12,6,22,16,12,31,27,18,3,6,22,11,8,21,15,14,5,48,0,22,22,7,18,12,24,50,42,5
College Street,20,30,31,27,39,24,27,36,7,4,19,6,25,26,23,32,26,25,18,43,22,0,34,18,31,27,28,45,48,20
Science City,23,24,25,27,35,32,26,21,37,36,18,24,15,24,21,23,21,20,26,52,22,34,0,20,26,21,15,42,36,25
Mother House,10,16,17,10,24,18,17,34,22,19,9,13,23,15,12,18,13,12,11,57,7,18,20,0,21,14,26,52,48,9
Kalighat Temple,15,13,14,19,15,19,15,39,33,31,14,17,26,9,10,14,14,18,21,55,18,31,26,21,0,13,28,58,56,20
Netaji Bhavan,10,11,12,12,18,16,14,36,32,27,7,13,24,10,10,15,7,11,15,65,12,27,21,14,13,0,26,54,49,15
Nicco Park,20,22,23,30,37,31,25,18,30,28,17,23,6,22,20,27,23,22,27,41,24,28,15,26,28,26,0,25,19,30
Eco Park,30,34,35,44,51,45,16,18,45,43,47,52,30,52,50,55,24,45,57,41,50,45,42,52,58,54,25,0,2,46
Mother Teresa Wax Museum,31,35,36,45,53,47,44,7,50,46,41,47,25,47,46,48,41,37,54,41,42,48,36,48,56,49,19,2,0,45
Indian Museum,8,16,17,19,24,12,23,43,23,20,6,5,31,15,14,22,13,10,7,62,5,20,25,9,20,15,30,46,45,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
